Old Ward Code,New ward code,Ward,% Households without central heating - 2001,Cavity walls that are uninsulated (2010),Lofts with less than 150mm insulation (2010),Indices of Deprivation 2010 Health Deprivation and Disability domain,SMR - 2010,Incapacity Benefit rate - 2010,% aged 60 or over - 2010,Pension Credit rate - 2010,JSA claimant rate - 2010,Income Support rate - 2010,% of children in poverty - 2009,% of households fuel poor (2009)
00ALGP,E05000214,Abbey Wood,8.9,75.0,74.5,0.81,101.0,9.7,14.9,33.1,5.3,11.0,36.4,15.7
00ALGQ,E05000215,Blackheath Westcombe,8.5,69.1,73.2,0.26,101.3,5.0,23.0,18.2,2.3,4.4,16.3,10.7
00ALGR,E05000216,Charlton,9.1,74.1,73.5,0.78,145.1,8.4,15.2,37.6,4.6,8.6,33.9,13.8
00ALGS,E05000217,Coldharbour and New Eltham,6.5,70.0,73.8,0.32,83.6,6.6,26.1,18.8,3.6,5.3,22.1,15.7
00ALGT,E05000218,Eltham North,8.2,80.5,74.4,0.11,71.2,4.3,23.8,16.2,2.7,3.1,12.7,14.4
00ALGU,E05000219,Eltham South,6.9,75.7,73.6,0.39,81.3,5.4,23.2,16.9,3.2,5.3,26.4,15.5
00ALGW,E05000220,Eltham West,11.5,68.1,70.5,0.82,108.9,7.1,15.8,27.9,4.2,6.8,34.2,17.7
00ALGX,E05000221,Glyndon,7.4,68.0,73.7,0.90,166.1,8.8,11.2,45.2,6.3,9.4,38.5,16.0
00ALGY,E05000222,Greenwich West,8.9,66.6,76.1,0.33,111.0,6.0,11.3,36.3,3.9,6.7,34.2,12.0
00ALGZ,E05000223,Kidbrooke with Hornfair,7.7,62.2,72.7,0.74,87.8,8.4,18.3,28.8,4.2,7.9,31.3,14.7
00ALHA,E05000224,Middle Park and Sutcliffe,6.1,73.7,72.6,0.74,57.3,9.0,23.7,20.2,5.2,9.6,34.6,16.1
00ALHB,E05000225,Peninsula,12.1,62.4,71.6,0.42,101.1,5.4,13.9,31.5,3.0,5.3,30.3,12.8
00ALHC,E05000226,Plumstead,10.7,75.5,74.9,0.64,116.3,7.6,14.4,30.8,5.8,7.9,31.4,16.5
00ALHD,E05000227,Shooters Hill,9.5,68.7,74.8,0.40,79.7,5.7,18.6,20.5,4.0,4.7,22.3,14.4
00ALHE,E05000228,Thamesmead Moorings,4.9,59.5,67.1,0.69,170.1,6.5,7.6,44.5,5.6,8.4,34.3,8.2
00ALHF,E05000229,Woolwich Common,5.7,76.3,77.3,1.23,50.5,9.8,12.9,38.1,6.8,11.0,43.1,16.7
00ALHG,E05000230,Woolwich Riverside,5.0,74.8,78.4,1.10,136.6,9.4,10.5,45.7,6.1,10.5,43.5,15.1
00AMGA,E05000231,Brownswood,10.4,66.6,76.5,0.74,85.4,5.8,9.7,43.3,4.3,5.7,39.4,14.1
00AMGB,E05000232,Cazenove,8.9,70.7,74.7,0.41,75.9,6.7,8.1,50.6,5.0,7.2,30.4,15.1
00AMGC,E05000233,Chatham,8.9,80.8,77.8,0.77,111.2,8.8,10.6,51.3,7.5,10.5,45.6,16.7
00AMGD,E05000234,Clissold,10.0,68.9,75.5,0.47,92.2,7.4,11.0,46.8,4.7,6.8,27.6,13.3
00AMGE,E05000235,Dalston,7.6,58.9,75.2,0.87,94.5,8.0,12.2,47.0,7.3,8.2,42.8,15.0
00AMGF,E05000236,De Beauvoir,13.1,67.6,75.1,0.51,105.9,7.5,11.8,41.2,5.1,8.5,43.1,15.4
00AMGG,E05000237,Hackney Central,8.1,69.8,76.8,0.81,95.6,8.9,12.3,55.8,7.4,9.2,43.7,14.4
00AMGH,E05000238,Hackney Downs,9.3,73.7,77.8,0.85,116.4,8.8,11.1,53.9,7.0,9.0,43.1,16.2
00AMGJ,E05000239,Haggerston,10.2,59.1,76.1,0.83,112.6,8.2,8.0,62.6,5.3,8.7,51.4,16.4
00AMGK,E05000240,Hoxton,17.3,75.4,79.8,0.92,80.6,9.9,12.5,42.6,5.5,10.7,49.8,16.9
00AMGL,E05000241,King's Park,4.7,82.7,75.8,0.65,83.1,9.1,14.1,46.9,6.6,10.4,48.2,14.5
00AMGM,E05000242,Leabridge,9.1,72.7,75.9,0.64,164.8,8.2,8.9,57.4,6.8,9.1,38.9,15.6
00AMGN,E05000243,Lordship,9.2,75.6,74.7,0.48,108.6,7.0,10.3,43.9,4.0,6.9,32.4,13.8
00AMGP,E05000244,New River,10.0,75.2,77.2,0.70,82.4,8.1,11.6,43.2,4.7,8.0,35.0,18.5
00AMGQ,E05000245,Queensbridge,10.6,58.9,73.0,0.89,101.7,9.5,14.9,47.1,6.9,10.0,46.1,14.6
00AMGR,E05000246,Springfield,7.4,72.0,74.5,0.50,67.4,8.8,10.4,49.0,5.6,10.1,35.9,17.9
00AMGS,E05000247,Stoke Newington Central,8.9,79.8,77.4,0.75,87.8,7.4,9.9,51.9,5.7,6.4,33.0,14.5
00AMGT,E05000248,Victoria,9.8,66.1,73.8,0.75,96.2,9.7,12.5,39.7,6.4,10.1,42.6,15.0
00AMGU,E05000249,Wick,7.4,67.7,76.4,1.12,98.4,11.6,13.7,44.6,6.7,12.3,48.6,14.7
00ANGA,E05000250,Addison,11.5,81.0,80.1,0.14,102.7,6.3,11.3,30.8,3.4,5.5,25.5,13.3
00ANGB,E05000251,Askew,13.0,73.2,77.6,0.52,134.6,7.6,9.8,50.4,4.8,7.5,35.2,14.7
00ANGC,E05000252,Avonmore and Brook Green,10.2,69.9,78.3,0.04,73.0,4.6,13.1,32.5,2.8,4.2,27.7,11.7
00ANGD,E05000253,College Park and Old Oak,9.4,64.0,79.2,0.85,99.2,7.7,13.0,36.8,4.5,9.0,51.1,15.2
00ANGE,E05000254,Fulham Broadway,11.4,72.2,77.8,0.51,126.6,6.4,13.5,43.8,3.8,5.5,36.0,12.8
00ANGF,E05000255,Fulham Reach,9.9,70.9,76.5,0.25,66.6,5.1,15.1,24.0,3.1,4.8,30.3,11.8
00ANGG,E05000256,Hammersmith Broadway,12.3,79.9,79.0,0.51,109.4,7.1,13.0,37.6,4.6,7.0,37.0,14.4
00ANGH,E05000257,Munster,11.0,79.4,78.9,-0.03,58.6,4.4,13.3,22.4,2.3,3.7,19.6,10.5
00ANGJ,E05000258,North End,12.3,81.7,81.6,0.35,88.3,6.7,11.2,38.6,3.5,5.9,40.1,12.7
00ANGK,E05000259,Palace Riverside,7.8,76.1,77.1,-0.31,75.3,2.7,20.5,17.5,1.6,2.2,10.1,9.2
00ANGL,E05000260,Parsons Green and Walham,7.9,72.0,75.6,-0.05,91.5,4.2,14.1,23.0,2.2,4.1,16.4,9.5
00ANGM,E05000261,Ravenscourt Park,9.4,75.4,76.0,0.17,93.7,5.9,15.8,24.8,3.7,5.6,29.1,11.5
00ANGN,E05000262,Sands End,9.0,59.3,72.0,0.21,100.1,5.5,10.9,34.8,3.6,6.2,38.6,13.4
00ANGP,E05000263,Shepherd's Bush Green,12.8,74.7,79.4,0.52,93.1,8.7,10.1,54.5,5.2,8.0,39.8,15.1
