Old Ward Code,New ward code,Ward,% Households without central heating - 2001,Cavity walls that are uninsulated (2010),Lofts with less than 150mm insulation (2010),Indices of Deprivation 2010 Health Deprivation and Disability domain,SMR - 2010,Incapacity Benefit rate - 2010,% aged 60 or over - 2010,Pension Credit rate - 2010,JSA claimant rate - 2010,Income Support rate - 2010,% of children in poverty - 2009,% of households fuel poor (2009)
00BDGH,E05000527,St Margarets and North Twickenham,7.2,77.8,75.4,-1.97,58.0,2.1,15.5,8.7,1.4,1.4,7.0,7.6
00BDGJ,E05000528,South Richmond,7.3,64.6,76.1,-1.83,73.6,2.5,20.0,14.9,1.1,1.9,7.6,7.7
00BDGK,E05000529,South Twickenham,6.7,76.3,76.3,-1.74,75.4,2.5,16.1,12.2,1.6,1.6,5.1,9.0
00BDGL,E05000530,Teddington,6.2,74.1,75.6,-1.74,89.8,2.6,15.6,14.1,1.6,1.9,6.3,7.8
00BDGM,E05000531,Twickenham Riverside,9.2,74.1,76.7,-1.52,100.3,2.1,15.0,18.1,1.5,1.5,6.4,7.3
00BDGN,E05000532,West Twickenham,8.0,78.9,75.8,-1.47,84.3,3.3,16.8,16.1,2.0,2.6,12.7,10.7
00BDGP,E05000533,Whitton,4.8,76.6,72.5,-1.53,69.4,3.3,20.8,13.6,2.2,2.8,16.2,12.6
00BEGC,E05000534,Brunswick Park,6.3,65.9,74.3,0.32,83.2,8.7,13.1,35.0,6.4,8.4,34.1,15.5
00BEGD,E05000535,Camberwell Green,6.8,73.1,79.7,0.38,114.4,9.5,14.8,42.6,6.6,9.0,37.7,16.7
00BEGE,E05000536,Cathedrals,9.4,71.0,79.0,0.60,78.0,5.9,10.8,34.7,3.8,5.4,36.3,13.7
00BEGF,E05000537,Chaucer,6.9,76.2,81.0,0.18,54.7,4.2,11.2,30.0,3.3,4.8,36.4,15.0
00BEGG,E05000538,College,5.4,74.8,74.5,-0.19,123.7,6.1,12.7,29.6,4.1,6.5,26.4,10.7
00BEGH,E05000539,East Dulwich,11.4,80.1,76.5,-0.04,81.5,5.3,12.4,30.0,3.4,4.8,16.2,11.6
00BEGJ,E05000540,East Walworth,8.0,65.8,72.6,0.58,77.4,7.7,12.7,37.7,4.8,7.6,36.8,16.8
00BEGK,E05000541,Faraday,6.8,77.0,81.7,0.21,81.4,7.1,11.3,41.9,6.3,8.2,37.2,16.5
00BEGL,E05000542,Grange,6.8,57.5,73.4,0.60,116.2,6.8,12.2,36.3,4.3,7.0,38.4,13.2
00BEGM,E05000543,Livesey,5.6,67.5,77.4,0.40,90.3,9.1,14.7,42.8,7.6,10.4,42.4,15.6
00BEGN,E05000544,Newington,6.7,65.9,73.8,0.57,86.2,8.0,12.6,45.5,6.0,8.1,37.5,15.4
00BEGP,E05000545,Nunhead,7.8,72.8,74.6,0.61,200.0,11.2,10.6,67.3,7.3,10.8,35.5,15.3
00BEGQ,E05000546,Peckham,3.7,61.8,72.6,0.26,162.8,9.3,8.5,70.6,8.2,11.3,37.4,15.5
00BEGR,E05000547,Peckham Rye,10.7,72.4,74.2,-0.06,112.8,5.6,10.7,34.2,4.3,5.8,21.6,13.1
00BEGS,E05000548,Riverside,5.2,55.9,64.7,0.14,98.9,5.3,11.4,36.5,3.9,5.2,35.6,11.2
00BEGT,E05000549,Rotherhithe,4.7,59.3,69.3,0.58,119.0,5.4,9.2,45.7,3.8,6.2,36.8,11.4
00BEGU,E05000550,South Bermondsey,7.8,54.7,65.4,0.60,81.3,7.4,11.4,38.9,5.6,8.4,34.7,12.2
00BEGW,E05000551,South Camberwell,6.6,69.8,75.5,-0.02,76.5,5.0,10.8,31.7,4.2,5.5,26.5,13.8
00BEGX,E05000552,Surrey Docks,5.2,55.3,63.2,-0.01,64.3,3.6,12.0,26.3,3.1,3.6,25.2,5.7
00BEGY,E05000553,The Lane,7.8,74.1,75.9,0.38,90.6,7.9,13.9,41.7,5.9,8.1,32.8,13.9
00BEGZ,E05000554,Village,6.9,76.1,75.6,-0.50,101.4,3.3,12.4,21.7,2.3,3.1,8.3,9.1
00BFGC,E05000555,Beddington North,6.8,72.6,74.5,-0.64,103.2,3.6,18.0,17.7,2.8,2.4,11.5,13.7
00BFGD,E05000556,Beddington South,3.3,65.3,71.8,-0.20,82.5,7.3,21.4,17.6,3.7,7.1,29.6,14.5
00BFGE,E05000557,Belmont,3.8,63.6,71.0,-0.75,124.0,3.9,19.7,14.4,2.0,3.0,14.7,10.4
00BFGF,E05000558,Carshalton Central,8.0,77.0,75.1,-0.71,59.2,3.4,20.9,11.3,2.2,2.9,11.4,14.3
00BFGG,E05000559,Carshalton South and Clockhouse,4.8,70.9,73.6,-0.71,94.3,3.3,18.8,11.3,1.7,2.7,11.4,13.6
00BFGH,E05000560,Cheam,4.3,67.0,73.1,-1.21,102.0,2.8,25.6,9.8,1.7,1.9,7.3,13.4
00BFGJ,E05000561,Nonsuch,4.4,80.5,75.3,-1.02,68.5,2.5,24.0,11.6,1.7,1.3,8.1,14.8
00BFGK,E05000562,St Helier,13.1,58.3,76.4,0.10,98.5,7.5,13.9,36.9,4.7,7.6,30.7,17.3
00BFGL,E05000563,Stonecot,7.3,85.1,76.5,-0.66,108.8,3.1,19.4,12.2,2.1,1.9,11.4,15.2
00BFGM,E05000564,Sutton Central,9.7,72.5,74.6,-0.02,138.4,5.7,13.9,33.4,4.0,5.0,23.2,12.4
00BFGN,E05000565,Sutton North,6.7,75.7,75.1,-0.38,91.1,3.6,21.6,18.4,2.4,2.9,17.6,13.9
00BFGP,E05000566,Sutton South,7.1,73.7,73.1,-0.52,103.5,4.2,21.6,21.4,2.4,3.5,14.8,9.1
00BFGQ,E05000567,Sutton West,7.4,73.8,73.7,-0.66,105.7,3.4,18.4,16.7,2.4,2.3,11.3,10.3
00BFGR,E05000568,The Wrythe,8.2,75.7,75.0,-0.44,115.0,4.0,16.5,22.7,3.3,3.4,17.3,13.6
00BFGS,E05000569,Wallington North,7.8,76.9,74.9,-0.39,95.1,4.7,17.5,18.7,2.5,3.7,15.0,13.7
00BFGT,E05000570,Wallington South,8.2,75.7,74.3,-0.23,88.0,5.5,21.3,23.0,2.8,5.0,18.0,12.2
00BFGU,E05000571,Wandle Valley,9.0,64.1,73.5,-0.02,99.6,7.2,14.9,31.4,4.6,7.8,29.7,14.0
00BFGW,E05000572,Worcester Park,6.3,76.1,75.5,-0.76,83.0,2.6,16.3,15.5,1.9,2.4,14.6,12.6
00BGFW,E05000573,Bethnal Green North,5.0,61.8,75.2,0.87,107.9,8.7,9.1,70.5,6.5,8.7,54.4,14.5
00BGFX,E05000574,Bethnal Green South,4.0,60.3,73.2,0.88,66.6,7.7,9.2,50.4,6.1,7.5,55.9,14.8
00BGFY,E05000575,Blackwall and Cubitt Town,4.5,52.7,62.8,0.40,71.2,3.9,7.9,36.7,3.6,4.7,50.0,9.6
00BGFZ,E05000576,Bow East,5.0,59.4,66.9,0.76,134.5,9.2,12.4,51.2,7.3,9.9,55.0,11.5
00BGGA,E05000577,Bow West,5.7,65.4,76.8,0.77,119.8,7.4,11.1,55.5,6.2,7.6,46.1,12.7
00BGGB,E05000578,Bromley-by-Bow,5.1,61.8,68.1,0.85,78.2,7.3,9.3,47.4,7.4,8.7,55.8,15.2
00BGGC,E05000579,East India and Lansbury,4.8,75.3,76.6,0.90,121.0,11.4,12.3,53.1,9.9,13.1,59.0,15.4
00BGGD,E05000580,Limehouse,4.4,59.2,70.0,0.71,131.6,7.4,10.5,48.2,6.1,8.4,52.5,13.3
00BGGE,E05000581,Mile End and Globe Town,5.3,66.6,74.9,0.64,89.1,5.7,10.9,40.6,4.2,6.1,54.5,14.5
00BGGF,E05000582,Mile End East,4.2,66.9,75.7,0.87,88.8,7.1,7.1,71.2,7.4,8.1,54.8,14.7
00BGGG,E05000583,Millwall,5.6,59.8,64.7,0.14,74.4,3.7,7.6,38.0,3.0,3.9,46.0,7.3
00BGGH,E05000584,St Dunstan's and Stepney Green,4.8,65.2,75.2,0.83,154.7,9.5,11.0,66.0,7.3,9.3,53.7,14.5
00BGGJ,E05000585,St Katherine's and Wapping,6.0,60.2,68.9,0.31,80.5,5.2,10.1,32.6,3.4,4.2,38.1,8.0
00BGGK,E05000586,Shadwell,4.8,59.9,69.2,0.72,108.2,8.2,11.2,55.6,6.7,8.2,56.4,13.7
00BGGL,E05000587,Spitalfields and Banglatown,4.7,59.7,73.3,0.92,77.6,7.9,9.5,59.4,7.7,6.3,48.9,12.4
00BGGM,E05000588,Weavers,5.1,61.5,73.2,1.09,77.0,9.1,12.6,45.3,6.0,8.8,52.8,14.9
00BGGN,E05000589,Whitechapel,7.4,67.6,76.5,0.99,98.3,6.2,7.6,74.2,5.4,6.0,53.9,12.6
00BHFX,E05000590,Cann Hall,11.0,61.6,72.8,0.54,108.0,7.6,13.9,39.3,6.7,7.9,37.5,16.6
00BHFY,E05000591,Cathall,10.1,62.5,73.8,0.42,100.2,8.3,10.4,49.0,7.0,9.0,41.4,15.7
00BHFZ,E05000592,Chapel End,14.1,83.3,75.0,0.11,93.5,4.9,11.8,26.9,4.8,5.8,30.7,14.9
00BHGA,E05000593,Chingford Green,7.2,72.0,74.0,0.01,76.1,4.8,31.8,16.8,3.7,4.4,22.4,13.8
00BHGB,E05000594,Endlebury,4.8,75.2,74.1,-0.14,72.8,5.4,23.4,17.0,3.8,4.5,22.1,14.3
00BHGC,E05000595,Forest,13.4,84.6,76.2,0.42,90.9,6.4,14.3,33.0,4.8,5.8,26.1,16.8
00BHGD,E05000596,Grove Green,15.1,82.8,76.7,0.18,116.2,4.5,10.5,37.1,5.9,4.5,28.7,16.5
00BHGE,E05000597,Hale End and Highams Park,8.4,76.7,73.4,0.01,94.2,5.6,18.2,19.1,4.7,5.4,24.9,14.4
00BHGF,E05000598,Hatch Lane,8.9,61.4,73.3,0.43,93.7,8.0,24.0,23.0,4.5,7.4,30.2,16.0
00BHGG,E05000599,High Street,19.0,71.2,76.4,0.22,89.8,5.8,12.7,36.7,5.4,6.4,33.6,15.8
00BHGH,E05000600,Higham Hill,19.2,60.4,71.3,0.52,75.2,8.3,15.0,34.1,6.4,9.3,40.8,16.3
00BHGJ,E05000601,Hoe Street,14.4,66.4,73.7,0.54,128.8,7.4,14.0,43.0,7.5,7.6,34.8,14.2
00BHGK,E05000602,Larkswood,7.0,73.7,72.4,0.32,78.2,6.9,22.3,23.5,4.4,6.3,27.9,13.6
00BHGL,E05000603,Lea Bridge,14.6,80.8,74.9,0.45,188.1,7.3,11.5,46.2,7.6,7.6,34.3,18.1
00BHGM,E05000604,Leyton,11.4,75.9,75.4,0.34,83.7,7.9,10.2,45.0,6.7,8.4,41.9,16.9
00BHGN,E05000605,Leytonstone,12.5,77.2,75.8,0.40,74.1,6.0,13.9,27.2,4.8,5.2,24.5,14.2
00BHGP,E05000606,Markhouse,13.3,68.0,71.5,0.53,96.7,8.0,12.8,44.0,7.0,8.3,34.5,15.1
00BHGQ,E05000607,Valley,8.2,73.8,73.9,0.25,96.6,6.7,19.0,27.9,4.8,7.3,33.2,13.6
00BHGR,E05000608,William Morris,14.1,80.0,76.1,0.26,113.7,6.0,15.0,34.5,5.6,7.1,37.0,14.6
00BHGS,E05000609,Wood Street,15.1,73.3,74.8,0.46,87.0,8.0,15.4,32.7,5.4,8.5,34.3,15.6
00BJFZ,E05000610,Balham,7.2,70.0,76.4,0.01,83.3,3.4,10.7,25.4,2.2,2.5,10.3,8.2
00BJGA,E05000611,Bedford,15.0,61.1,75.0,0.21,115.1,4.1,9.4,39.6,2.7,3.5,19.8,11.0
00BJGB,E05000612,Earlsfield,8.9,63.5,76.4,0.48,67.1,4.4,11.4,28.4,2.7,3.9,27.3,9.9
00BJGC,E05000613,East Putney,7.3,71.9,76.0,-0.27,67.1,3.0,14.1,20.5,1.7,2.4,18.6,7.2
00BJGD,E05000614,Fairfield,6.9,64.5,73.9,-0.08,109.1,3.5,8.2,35.7,2.7,3.0,20.0,7.7
00BJGE,E05000615,Furzedown,10.1,68.9,76.7,0.42,108.9,5.4,12.5,37.0,4.7,5.7,29.7,12.2
00BJGF,E05000616,Graveney,10.7,72.8,77.6,0.38,80.1,5.0,12.1,35.5,3.9,5.4,34.2,11.9
00BJGG,E05000617,Latchmere,5.9,59.7,74.9,0.92,109.8,8.6,12.3,51.0,5.7,9.9,45.1,13.1
00BJGH,E05000618,Nightingale,8.4,73.3,76.9,0.20,153.2,3.9,11.5,28.4,2.4,3.1,12.5,8.3
00BJGJ,E05000619,Northcote,8.9,68.1,75.8,-0.14,73.1,2.8,7.7,32.6,2.1,1.9,7.2,8.0
00BJGK,E05000620,Queenstown,8.2,70.5,78.6,0.37,91.1,4.8,8.9,46.9,3.6,5.0,38.6,12.0
00BJGL,E05000621,Roehampton,3.7,68.0,76.2,0.72,107.3,9.6,16.4,38.8,4.6,10.0,40.4,14.6
00BJGM,E05000622,St Mary's Park,6.8,59.3,75.1,0.21,150.6,3.8,12.6,31.9,2.8,3.5,28.5,10.5
00BJGN,E05000623,Shaftesbury,10.8,62.9,77.1,0.26,105.1,4.5,10.7,30.8,2.6,3.6,19.4,9.0
00BJGP,E05000624,Southfields,8.3,74.7,76.7,-0.26,80.9,3.0,10.9,23.8,2.3,3.1,18.9,8.5
00BJGQ,E05000625,Thamesfield,8.6,74.2,77.4,-0.77,67.3,1.6,11.6,19.0,1.4,1.2,8.2,7.2
00BJGR,E05000626,Tooting,8.6,83.0,78.2,0.55,91.8,4.9,12.4,40.0,4.3,5.5,38.0,12.6
00BJGS,E05000627,Wandsworth Common,7.5,63.1,76.5,-0.02,148.7,3.3,10.2,23.6,1.8,2.5,9.9,9.9
00BJGT,E05000628,West Hill,5.6,65.5,75.9,0.20,169.2,4.5,11.2,33.3,3.0,4.5,31.2,9.8
00BJGU,E05000629,West Putney,4.1,62.6,73.2,-0.03,120.1,4.9,14.0,31.6,3.0,4.8,25.4,10.5
00BKGA,E05000630,Abbey Road,6.7,81.4,80.6,-1.15,63.1,3.8,17.8,18.5,1.6,3.2,17.5,8.6
00BKGB,E05000631,Bayswater,10.2,73.6,81.2,-0.21,73.1,6.6,14.9,27.6,3.0,5.2,24.6,11.7
00BKGC,E05000632,Bryanston and Dorset Square,13.8,77.9,80.5,-1.36,58.5,4.1,16.9,16.5,2.4,3.4,23.5,10.8
00BKGD,E05000633,Churchill,9.4,85.2,83.9,-0.01,130.8,9.5,17.2,30.3,4.4,9.6,49.1,14.5
00BKGE,E05000634,Church Street,9.9,69.4,78.0,0.46,151.6,15.1,12.2,76.5,6.6,15.8,60.2,15.4
00BKGF,E05000635,Harrow Road,9.2,60.0,77.2,0.71,75.2,13.0,17.7,40.0,7.9,12.6,51.6,17.3
00BKGG,E05000636,Hyde Park,10.9,76.6,79.9,-0.72,70.4,4.9,14.0,21.5,2.4,4.6,33.5,10.6
00BKGH,E05000637,Knightsbridge and Belgravia,8.0,81.0,82.1,-2.59,31.2,0.4,19.1,2.6,0.3,0.3,3.4,12.7
00BKGJ,E05000638,Lancaster Gate,12.6,77.4,80.0,-0.53,62.6,4.1,14.7,21.1,2.4,3.2,28.6,10.3
00BKGK,E05000639,Little Venice,9.7,77.9,80.1,-0.42,60.7,7.3,16.2,29.6,2.7,6.8,33.6,10.1
00BKGL,E05000640,Maida Vale,9.6,76.6,80.8,-0.65,60.5,6.8,18.9,21.1,3.5,6.5,41.4,11.3
00BKGM,E05000641,Marylebone High Street,11.8,73.3,79.5,-1.65,90.0,2.1,14.7,16.8,1.0,1.8,20.5,9.7
00BKGN,E05000642,Queen's Park,11.3,81.1,79.5,0.89,83.5,15.7,16.8,47.1,9.1,16.1,52.6,20.3
00BKGP,E05000643,Regent's Park,8.1,75.7,79.1,-1.17,90.3,4.8,18.6,29.1,1.7,4.4,32.0,9.6
00BKGQ,E05000644,St James's,16.0,61.0,74.2,-0.55,74.2,8.4,16.1,23.7,4.0,6.0,16.1,11.8
00BKGR,E05000645,Tachbrook,8.3,73.9,79.8,-0.38,99.8,4.6,18.8,26.0,2.1,3.3,26.3,9.0
00BKGS,E05000646,Vincent Square,8.9,75.5,81.5,-0.15,82.2,7.6,17.9,23.2,2.5,6.2,34.1,12.7
00BKGT,E05000647,Warwick,12.7,73.7,79.3,-0.19,70.6,6.4,16.2,27.9,2.8,5.3,31.6,13.1
00BKGU,E05000648,Westbourne,7.2,60.0,76.0,0.54,91.8,15.2,16.2,44.1,5.8,15.7,54.9,13.8
00BKGW,E05000649,West End,14.3,76.5,80.1,-0.92,77.0,5.7,18.5,20.3,2.1,4.3,18.5,13.6
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
